"position","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
0.30583,74.25,38.25,-54.5,420.25,86.75,57.75,78,74.25,62.75,67.25,52.75
0.307183,74,39,-40,456,87,58,78,74,63,68,52
0.308553,74,38.75,-31.5,517.5,88.25,57.5,78,74.5,62.75,67.5,51.75
0.309924,74,38.5,-23,579,89.5,57,78,75,62.5,67,51.5
0.311295,74,38.25,-14.5,640.5,90.75,56.5,78,75.5,62.25,66.5,51.25
0.312665,74,38,-6,702,92,56,78,76,62,66,51
0.314054,74.25,38,-0.25,810.75,92,57,77.75,76.5,62,66,51.25
0.315443,74.5,38,5.5,919.5,92,58,77.5,77,62,66,51.5
0.316831,74.75,38,11.25,1028.25,92,59,77.25,77.5,62,66,51.75
0.31822,75,38,17,1137,92,60,77,78,62,66,52
0.319564,74.25,38.25,21,1316.5,92.25,59.5,77.75,77.75,62.5,65.5,52.25
0.320907,73.5,38.5,25,1496,92.5,59,78.5,77.5,63,65,52.5
0.32225,72.75,38.75,29,1675.5,92.75,58.5,79.25,77.25,63.5,64.5,52.75
0.323594,72,39,33,1855,93,58,80,77,64,64,53
0.324893,72.75,39,35.75,2120.75,92.75,58,79.5,76.5,63.5,64.75,52.75
0.326191,73.5,39,38.5,2386.5,92.5,58,79,76,63,65.5,52.5
0.327489,74.25,39,41.25,2652.25,92.25,58,78.5,75.5,62.5,66.25,52.25
0.328788,75,39,44,2918,92,58,78,75,62,67,52
0.330141,74.5,38.75,45.25,3195.75,93.5,58.5,78,75.25,62,66.75,52
0.331493,74,38.5,46.5,3473.5,95,59,78,75.5,62,66.5,52
0.332846,73.5,38.25,47.75,3751.25,96.5,59.5,78,75.75,62,66.25,52
0.334198,73,38,49,4029,98,60,78,76,62,66,52
0.335587,73.5,38.5,50.5,3869.25,98.75,59.75,78,75.5,62.25,66,53
0.336975,74,39,52,3709.5,99.5,59.5,78,75,62.5,66,54
0.338364,74.5,39.5,53.5,3549.75,100.25,59.25,78,74.5,62.75,66,55
0.339753,75,40,55,3390,101,59,78,74,63,66,56
0.341142,74.75,39.5,56,2491,102,59,78.25,74,63,65.75,55.25
0.342531,74.5,39,57,1592,103,59,78.5,74,63,65.5,54.5
0.343919,74.25,38.5,58,693,104,59,78.75,74,63,65.25,53.75
0.345308,74,38,59,-206,105,59,79,74,63,65,53
0.346696,73.75,37.75,59.75,-1073.75,105.75,59.5,79,74.5,63,65.5,52.5
0.348085,73.5,37.5,60.5,-1941.5,106.5,60,79,75,63,66,52
0.349473,73.25,37.25,61.25,-2809.25,107.25,60.5,79,75.5,63,66.5,51.5
0.350862,73,37,62,-3677,108,61,79,76,63,67,51
0.352251,73,37,62.25,-3780.5,110,61,79,75.75,63,67,51.75
0.353639,73,37,62.5,-3884,112,61,79,75.5,63,67,52.5
0.355028,73,37,62.75,-3987.5,114,61,79,75.25,63,67,53.25
0.356417,73,37,63,-4091,116,61,79,75,63,67,54
0.357787,73.5,37,63.5,-3768.75,118.25,61,78.75,74.75,63,66.75,54
0.359158,74,37,64,-3446.5,120.5,61,78.5,74.5,63,66.5,54
0.360529,74.5,37,64.5,-3124.25,122.75,61,78.25,74.25,63,66.25,54
0.361899,75,37,65,-2802,125,61,78,74,63,66,54
0.363252,74.5,37.25,65,-2510.5,128,61.25,78,74,63,65.75,53.5
0.364604,74,37.5,65,-2219,131,61.5,78,74,63,65.5,53
0.365957,73.5,37.75,65,-1927.5,134,61.75,78,74,63,65.25,52.5
0.36731,73,38,65,-1636,137,62,78,74,63,65,52
0.368663,73,38.25,65.5,-1457.25,141.5,62,78.5,74,63.25,65.5,52.25
0.370015,73,38.5,66,-1278.5,146,62,79,74,63.5,66,52.5
0.371367,73,38.75,66.5,-1099.75,150.5,62,79.5,74,63.75,66.5,52.75
0.37272,73,39,67,-921,155,62,80,74,64,67,53
0.374091,73.25,39.25,66.75,-821.5,162.25,62,80,74.5,63.25,66.5,53
0.375462,73.5,39.5,66.5,-722,169.5,62,80,75,62.5,66,53
0.376833,73.75,39.75,66.25,-622.5,176.75,62,80,75.5,61.75,65.5,53
0.378203,74,40,66,-523,184,62,80,76,61,65,53
0.379591,73.5,39.75,66.5,-467.25,194.75,61.75,80,75.75,61,65.5,53
0.38098,73,39.5,67,-411.5,205.5,61.5,80,75.5,61,66,53
0.382369,72.5,39.25,67.5,-355.75,216.25,61.25,80,75.25,61,66.5,53
0.383757,72,39,68,-300,227,61,80,75,61,67,53
0.385137,72.75,38.75,67.5,-268.25,243.75,61,79.75,74.25,61.5,67.25,52.5
0.386517,73.5,38.5,67,-236.5,260.5,61,79.5,73.5,62,67.5,52
0.387896,74.25,38.25,66.5,-204.75,277.25,61,79.25,72.75,62.5,67.75,51.5
0.389276,75,38,66,-173,294,61,79,72,63,68,51
0.390647,74.75,38,67,-155.25,321,61,79.25,72.5,63,67.5,51.25
0.392017,74.5,38,68,-137.5,348,61,79.5,73,63,67,51.5
0.393388,74.25,38,69,-119.75,375,61,79.75,73.5,63,66.5,51.75
0.394758,74,38,70,-102,402,61,80,74,63,66,52
0.396111,73.75,38.75,70,-90.75,445.5,61.5,79.75,74.25,62.5,66.5,52.5
0.397463,73.5,39.5,70,-79.5,489,62,79.5,74.5,62,67,53
0.398816,73.25,40.25,70,-68.25,532.5,62.5,79.25,74.75,61.5,67.5,53.5
0.400169,73,41,70,-57,576,63,79,75,61,68,54
0.401539,72.75,40,69.75,-50.25,651.25,63.75,79.25,75.5,61.25,68,54
0.40291,72.5,39,69.5,-43.5,726.5,64.5,79.5,76,61.5,68,54
0.40428,72.25,38,69.25,-36.75,801.75,65.25,79.75,76.5,61.75,68,54
0.405651,72,37,69,-30,877,66,80,77,62,68,54
0.407021,72.5,37.5,69,-25.75,1007.5,66.75,80.5,77,62.5,67.75,54
0.408392,73,38,69,-21.5,1138,67.5,81,77,63,67.5,54
0.409763,73.5,38.5,69,-17.25,1268.5,68.25,81.5,77,63.5,67.25,54
0.411134,74,39,69,-13,1399,69,82,77,64,67,54
0.412523,74.25,39,69,-9.5,1625.5,68.75,81,76.5,63.75,67,53.5
0.413911,74.5,39,69,-6,1852,68.5,80,76,63.5,67,53
0.415299,74.75,39,69,-2.5,2078.5,68.25,79,75.5,63.25,67,52.5
0.416688,75,39,69,1,2305,68,78,75,63,67,52
0.418076,74.5,39,69,2.5,2623.75,68.75,78.25,75,62.5,67.25,52.25
0.419465,74,39,69,4,2942.5,69.5,78.5,75,62,67.5,52.5
0.420854,73.5,39,69,5.5,3261.25,70.25,78.75,75,61.5,67.75,52.75
0.422243,73,39,69,7,3580,71,79,75,61,68,53
0.42364,72.75,39,69,8.75,3762.25,71.5,79,75,61.25,67.75,53
0.425038,72.5,39,69,10.5,3944.5,72,79,75,61.5,67.5,53
0.426436,72.25,39,69,12.25,4126.75,72.5,79,75,61.75,67.25,53
0.427834,72,39,69,14,4309,73,79,75,62,67,53
0.429214,72,39.25,69,15,3833.5,74,79.5,75.25,62,67,53
0.430593,72,39.5,69,16,3358,75,80,75.5,62,67,53
0.431972,72,39.75,69,17,2882.5,76,80.5,75.75,62,67,53
0.433352,72,40,69,18,2407,77,81,76,62,67,53
0.434741,72.5,39.5,69.5,18.75,1344,78,80.75,76.25,62.25,67,53
0.43613,73,39,70,19.5,281,79,80.5,76.5,62.5,67,53
0.437519,73.5,38.5,70.5,20.25,-782,80,80.25,76.75,62.75,67,53
0.438907,74,38,71,21,-1845,81,80,77,63,67,53
0.440314,74,38.5,71,21.5,-2485.75,82.5,80.5,76.5,63.25,66.75,52.75
0.44172,74,39,71,22,-3126.5,84,81,76,63.5,66.5,52.5
0.443127,74,39.5,71,22.5,-3767.25,85.5,81.5,75.5,63.75,66.25,52.25
0.444534,74,40,71,23,-4408,87,82,75,64,66,52
0.445941,73.75,39.75,70.5,23.25,-4250.75,88.75,82,74.75,63.75,66.25,52
0.447348,73.5,39.5,70,23.5,-4093.5,90.5,82,74.5,63.5,66.5,52
0.448755,73.25,39.25,69.5,23.75,-3936.25,92.25,82,74.25,63.25,66.75,52
0.450161,73,39,69,24,-3779,94,82,74,63,67,52
0.451585,73.25,39.5,69.25,25,-3407.25,97.25,81.75,74.25,63,66.75,51.75
0.45301,73.5,40,69.5,26,-3035.5,100.5,81.5,74.5,63,66.5,51.5
0.454435,73.75,40.5,69.75,27,-2663.75,103.75,81.25,74.75,63,66.25,51.25
0.45586,74,41,70,28,-2292,107,81,75,63,66,51
0.457284,73.75,40.75,70,28.25,-2030,110.75,81.25,75.5,62.5,66.25,51.5
0.458709,73.5,40.5,70,28.5,-1768,114.5,81.5,76,62,66.5,52
0.460133,73.25,40.25,70,28.75,-1506,118.25,81.75,76.5,61.5,66.75,52.5
0.461558,73,40,70,29,-1244,122,82,77,61,67,53
